,text,event_type,clean_text
0,Attempt missed. Mladen Petric (Hamburg) left footed shot from the left side of the box is high and wide to the left. Assisted by Gokhan Tore.,1,attempt miss mladen petric hamburg leave foot shot leave side box high wide leave assisted gokhan tore
1,"Corner,  Borussia Dortmund. Conceded by Dennis Diekmeier.",2,corner borussia dortmund concede dennis diekmeier
2,"Corner,  Borussia Dortmund. Conceded by Heiko Westermann.",2,corner borussia dortmund concede heiko westermann
3,Foul by Sven Bender (Borussia Dortmund).,3,foul sven bender borussia dortmund
4,Gokhan Tore (Hamburg) wins a free kick in the defensive half.,8,gokhan tear hamburg win free kick defensive half
5,Hand ball by Jose Paolo Guerrero (Hamburg).,10,hand ball jose paolo guerrero hamburg
6,"Corner,  Hamburg. Conceded by Lukasz Piszczek.",2,corner hamburg concede lukasz piszczek
7,Chris Lowe (Borussia Dortmund) wins a free kick in the defensive half.,8,chris lowe borussia dortmund win free kick defensive half
8,Foul by Gojko Kacar (Hamburg).,3,foul gojko kacar hamburg
9,Foul by Gokhan Tore (Hamburg).,3,foul gokhan tear hamburg
10,Sven Bender (Borussia Dortmund) wins a free kick on the left wing.,8,sven bender borussia dortmund win free kick leave wing
11,"Attempt missed. Shinji Kagawa (Borussia Dortmund) right footed shot from outside the box is close, but misses the top right corner. Assisted by Mario Gotze.",1,attempt miss shinji kagawa borussia dortmund right foot shot outside box close miss top right corner assist mario gotze
12,Foul by Gojko Kacar (Hamburg).,3,foul gojko kacar hamburg
13,"Goal!  Borussia Dortmund 1, Hamburg 0. Kevin Grosskreutz (Borussia Dortmund) left footed shot from the left side of the box to the bottom right corner. Assisted by Mario Gotze.",1,goal borussia dortmund hamburg kevin grosskreutz borussia dortmund leave foot shot leave side box bottom right corner assist mario gotze
14,Attempt blocked. Mats Hummels (Borussia Dortmund) right footed shot from outside the box is blocked.,1,attempt block mat hummels borussia dortmund right foot shot outside box block
15,Foul by Sven Bender (Borussia Dortmund).,3,foul sven bender borussia dortmund
16,Mladen Petric (Hamburg) wins a free kick in the attacking half.,8,mladen petric hamburg win free kick attack half
17,Attempt blocked. Tomas Rincon (Hamburg) right footed shot from outside the box is blocked.,1,attempt block tomas rincon hamburg right foot shot outside box block
18,Shinji Kagawa (Borussia Dortmund) hits the right post with a right footed shot from the centre of the box. Assisted by Lukasz Piszczek.,1,shinji kagawa borussia dortmund hit right post right foot shot centre box assist lukasz piszczek
19,"Corner,  Borussia Dortmund. Conceded by Dennis Diekmeier.",2,corner borussia dortmund concede dennis diekmeier
20,Attempt blocked. Ilkay Gundogan (Borussia Dortmund) left footed shot from outside the box is blocked.,1,attempt block ilkay gundogan borussia dortmund leave foot shot outside box block
21,"Corner,  Borussia Dortmund. Conceded by Heiko Westermann.",2,corner borussia dortmund concede heiko westermann
22,Attempt saved. Mats Hummels (Borussia Dortmund) header from the centre of the box is saved in the centre of the goal. Assisted by Chris Lowe with a cross.,1,attempt save mat hummels borussia dortmund header centre box save centre goal assist chris lowe cross
23,Lukasz Piszczek (Borussia Dortmund) wins a free kick in the defensive half.,8,lukasz piszczek borussia dortmund win free kick defensive half
24,Foul by Gokhan Tore (Hamburg).,3,foul gokhan tear hamburg
25,Attempt missed. Shinji Kagawa (Borussia Dortmund) right footed shot from the left side of the box misses to the right. Assisted by Kevin Grosskreutz.,1,attempt miss shinji kagawa borussia dortmund right foot shot left side box miss right assist kevin grosskreutz
26,"Goal!  Borussia Dortmund 2, Hamburg 0. Mario Gotze (Borussia Dortmund) right footed shot from the centre of the box to the centre of the goal. Assisted by Robert Lewandowski.",1,goal borussia dortmund hamburg mario gotze borussia dortmund right foot shot centre box centre goal assist robert lewandowski
27,Foul by Kevin Grosskreutz (Borussia Dortmund).,3,foul kevin grosskreutz borussia dortmund
28,Gokhan Tore (Hamburg) wins a free kick on the right wing.,8,gokhan tear hamburg win free kick right wing
29,Roman Weidenfeller (Borussia Dortmund) wins a free kick in the defensive half.,8,roman weidenfeller borussia dortmund win free kick defensive half
30,"Corner,  Hamburg. Conceded by Ilkay Gundogan.",2,corner hamburg concede ilkay gundogan
31,Foul by Gojko Kacar (Hamburg).,3,foul gojko kacar hamburg
32,Foul by Robert Lewandowski (Borussia Dortmund).,3,foul robert lewandowski borussia dortmund
33,Tomas Rincon (Hamburg) wins a free kick in the defensive half.,8,tomas rincon hamburg win free kick defensive half
34,Attempt missed. Mario Gotze (Borussia Dortmund) right footed shot from the right side of the box is too high.,1,attempt miss mario gotze borussia dortmund right foot shot right side box high
35,Foul by Felipe Santana (Borussia Dortmund).,3,foul felipe santana borussia dortmund
36,Jose Paolo Guerrero (Hamburg) wins a free kick in the attacking half.,8,jose paolo guerrero hamburg win free kick attack half
37,Attempt missed. Gokhan Tore (Hamburg) left footed shot from outside the box is too high.,1,attempt miss gokhan tore hamburg leave foot shot outside box high
38,Attempt missed. Robert Lewandowski (Borussia Dortmund) header from the left side of the box misses to the right. Assisted by Lukasz Piszczek with a cross.,1,attempt miss robert lewandowski borussia dortmund header leave side box miss right assist lukasz piszczek cross
39,Ilkay Gundogan (Borussia Dortmund) wins a free kick in the attacking half.,8,ilkay gundogan borussia dortmund win free kick attack half
40,Foul by Gojko Kacar (Hamburg).,3,foul gojko kacar hamburg
41,"Substitution, Hamburg. Anis Ben-Hatira replaces Jose Paolo Guerrero because of an injury.",7,substitution hamburg ani ben hatira replaces jose paolo guerrero injury
42,"Offside, Borussia Dortmund. Mats Hummels tries a through ball, but Shinji Kagawa is caught offside.",9,offside borussia dortmund mat hummels try ball shinji kagawa catch offside
43,Attempt missed. Ilkay Gundogan (Borussia Dortmund) right footed shot from the right side of the box misses to the left. Assisted by Mario Gotze following a fast break.,1,attempt miss ilkay gundogan borussia dortmund right foot shot right side box miss leave assisted mario gotze follow fast break
44,Michael Mancienne (Hamburg) is shown the yellow card.,4,michael mancienne hamburg show yellow card
45,Shinji Kagawa (Borussia Dortmund) wins a free kick in the attacking half.,8,shinji kagawa borussia dortmund win free kick attack half
46,"Substitution, Hamburg. Marcell Jansen replaces Eljero Elia.",7,substitution hamburg marcell jansen replaces eljero elia
47,Foul by Marcell Jansen (Hamburg).,3,foul marcell jansen hamburg
48,"Corner,  Borussia Dortmund. Conceded by Tomas Rincon.",2,corner borussia dortmund concede tomas rincon
49,Attempt saved. Kevin Grosskreutz (Borussia Dortmund) right footed shot from the centre of the box is saved in the top centre of the goal. Assisted by Mario Gotze.,1,attempt save kevin grosskreutz borussia dortmund right foot shot centre box save top centre goal assist mario gotze
